MLY-PRCP-67PCTL,SECOND TERCILE OF MONTHLY NONZERO PRECIPITATION TOTALS
MLY-PRCP-AVGNDS-GE001HI,MONTHLY NUMBER OF DAYS WITH PRECIPITATION >= 0.01 INCHES
MLY-PRCP-AVGNDS-GE010HI,MONTHLY NUMBER OF DAYS WITH PRECIPITATION >= 0.10 INCHES
MLY-PRCP-AVGNDS-GE025HI,MONTHLY NUMBER OF DAYS WITH PRECIPITATION >= 0.25 INCHES
MLY-PRCP-AVGNDS-GE050HI,MONTHLY NUMBER OF DAYS WITH PRECIPITATION >= 0.50 INCHES
MLY-PRCP-AVGNDS-GE100HI,MONTHLY NUMBER OF DAYS WITH PRECIPITATION >= 1.00 INCHES
MLY-PRCP-AVGNDS-GE200HI,MONTHLY NUMBER OF DAYS WITH PRECIPITATION >= 2.00 INCHES
MLY-PRCP-AVGNDS-GE400HI,MONTHLY NUMBER OF DAYS WITH PRECIPITATION >= 4.00 INCHES
MLY-PRCP-AVGNDS-GE600HI,MONTHLY NUMBER OF DAYS WITH PRECIPITATION >= 6.00 INCHES
MLY-SNOW-NORMAL,LONG-TERM AVERAGES OF MONTHLY SNOWFALL TOTAL
MLY-SNOW-25PCTL,FIRST QUARTILE OF MONTHLY NONZERO SNOWFALL TOTALS
MLY-SNOW-50PCTL,SECOND QUARTILE OF MONTHLY NONZERO SNOWFALL TOTALS
MLY-SNOW-75PCTL,THIRD QUARTILE OF MONTHLY NONZERO SNOWFALL TOTALS
MLY-SNOW-20PCTL,FIRST QUINTILE OF MONTHLY NONZERO SNOWFALL TOTALS
MLY-SNOW-40PCTL,SECOND QUINTILE OF MONTHLY NONZERO SNOWFALL TOTALS
MLY-SNOW-60PCTL,THIRD QUINTILE OF MONTHLY NONZERO SNOWFALL TOTALS
MLY-SNOW-80PCTL,FOURTH QUINTILE OF MONTHLY NONZERO SNOWFALL TOTALS
MLY-SNOW-33PCTL,FIRST TERCILE OF MONTHLY NONZERO SNOWFALL TOTALS
MLY-SNOW-67PCTL,SECOND TERCILE OF MONTHLY NONZERO SNOWFALL TOTALS
MLY-SNOW-AVGNDS-GE001TI,MONTHLY NUMBER OF DAYS WITH SNOWFALL >= 0.1 INCH
MLY-SNOW-AVGNDS-GE010TI,MONTHLY NUMBER OF DAYS WITH SNOWFALL >= 1.0 INCH
MLY-SNOW-AVGNDS-GE020TI,MONTHLY NUMBER OF DAYS WITH SNOWFALL >= 2.0 INCHES
MLY-SNOW-AVGNDS-GE030TI,MONTHLY NUMBER OF DAYS WITH SNOWFALL >= 3.0 INCHES
MLY-SNOW-AVGNDS-GE040TI,MONTHLY NUMBER OF DAYS WITH SNOWFALL >= 4.0 INCHES
MLY-SNOW-AVGNDS-GE050TI,MONTHLY NUMBER OF DAYS WITH SNOWFALL >= 5.0 INCHES
MLY-SNOW-AVGNDS-GE100TI,MONTHLY NUMBER OF DAYS WITH SNOWFALL >= 10 INCHES
MLY-SNOW-AVGNDS-GE200TI,MONTHLY NUMBER OF DAYS WITH SNOWFALL >= 20 INCHES
MLY-SNWD-AVGNDS-GE001WI,MONTHLY NUMBER OF DAYS WITH SNOW DEPTH >= 1 INCH
MLY-SNWD-AVGNDSGE002WI,MONTHLY NUMBER OF DAYS WITH SNOW DEPTH >= 2 INCHES
MLY-SNWD-AVGNDS-GE003WI,MONTHLY NUMBER OF DAYS WITH SNOW DEPTH >= 3 INCHES
MLY-SNWD-AVGNDS-GE004WI,MONTHLY NUMBER OF DAYS WITH SNOW DEPTH >= 4 INCHES
MLY-SNWD-AVGNDS-GE005WI,MONTHLY NUMBER OF DAYS WITH SNOW DEPTH >= 5 INCHES
MLY-SNWD-AVGNDS-GE010WI,MONTHLY NUMBER OF DAYS WITH SNOW DEPTH >= 10 INCHES
MLY-SNWD-AVGNDS-GE020WI,MONTHLY NUMBER OF DAYS WITH SNOW DEPTH >= 20 INCHES
MLY-TMIN-AVGNDS-LSTH000,MONTHLY NUMBER OF DAYS WITH MINIMUM TEMPERATURE <= 0F
MLY-TMIN-AVGNDS-LSTH010,MONTHLY NUMBER OF DAYS WITH MINIMUM TEMPERATURE <= 10F
MLY-TMIN-AVGNDS-LSTH020,MONTHLY NUMBER OF DAYS WITH MINIMUM TEMPERATURE <= 20F
MLY-TMIN-AVGNDS-LSTH032,MONTHLY NUMBER OF DAYS WITH MINIMUM TEMPERATURE <= 32F
MLY-TMIN-AVGNDS-LSTH040,MONTHLY NUMBER OF DAYS WITH MINIMUM TEMPERATURE <= 40F
MLY-TMIN-AVGNDS-LSTH050,MONTHLY NUMBER OF DAYS WITH MINIMUM TEMPERATURE <= 50F
MLY-TMIN-AVGNDS-LSTH060,MONTHLY NUMBER OF DAYS WITH MINIMUM TEMPERATURE <= 60F
MLY-TMIN-AVGNDS-LSTH070,MONTHLY NUMBER OF DAYS WITH MINIMUM TEMPERATURE <= 70F
MLY-TMAX-AVGNDS-GRTH032,MONTHLY NUMBER OF DAYS WITH MAXIMUM TEMPERATURE >= 32F
MLY-TMAX-AVGNDS-GRTH040,MONTHLY NUMBER OF DAYS WITH MAXIMUM TEMPERATURE >= 40F
MLY-TMAX-AVGNDS-GRTH050,MONTHLY NUMBER OF DAYS WITH MAXIMUM TEMPERATURE >= 50F
MLY-TMAX-AVGNDS-GRTH060,MONTHLY NUMBER OF DAYS WITH MAXIMUM TEMPERATURE >= 60F
MLY-TMAX-AVGNDS-GRTH070,MONTHLY NUMBER OF DAYS WITH MAXIMUM TEMPERATURE >= 70F
MLY-TMAX-AVGNDS-GRTH080,MONTHLY NUMBER OF DAYS WITH MAXIMUM TEMPERATURE >= 80F
MLY-TMAX-AVGNDS-GRTH090,MONTHLY NUMBER OF DAYS WITH MAXIMUM TEMPERATURE >= 90F
MLY-TMAX-AVGNDS-GRTH100,MONTHLY NUMBER OF DAYS WITH MAXIMUM TEMPERATURE >= 100F
MLY-TMAX-AVGNDS-LSTH032,MONTHLY NUMBER OF DAYS WITH MAXIMUM TEMPERATURE <= 32F
MLY-TMIN-PRBOCC-LSTH016,PROBABILITY OF MINIMUM TEMPERATURE AT LEAST ONCE MONTHLY <= 16F
MLY-TMIN-PRBOCC-LSTH020,PROBABILITY OF MINIMUM TEMPERATURE AT LEAST ONCE MONTHLY <= 20F
MLY-TMIN-PRBOCC-LSTH024,PROBABILITY OF MINIMUM TEMPERATURE AT LEAST ONCE MONTHLY <= 24F
MLY-TMIN-PRBOCC-LSTH028,PROBABILITY OF MINIMUM TEMPERATURE AT LEAST ONCE MONTHLY <= 28F
MLY-TMIN-PRBOCC-LSTH032,PROBABILITY OF MINIMUM TEMPERATURE AT LEAST ONCE MONTHLY <= 32F
MLY-TMIN-PRBOCC-LSTH036,PROBABILITY OF MINIMUM TEMPERATURE AT LEAST ONCE MONTHLY <= 36F
